,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes
147,540434,402505,mobile,ended,210.0,,
148,540479,374684,mobile,ended,12.0,539751.0,0.0
149,540553,303506,mobile,ended,-24.0,,
150,540633,396732,mobile,ended,-5.0,,
151,540643,217777,connect,canceled,,,
152,540649,352528,connect,ended,90.0,,
153,540733,393558,mobile,ended,15422.0,,
154,540735,314897,mobile,ended,-14.0,,
155,540966,405906,mobile,ended,11.0,,
156,541014,321607,mobile,ended,-7.0,,
157,541060,280562,mobile,ended,146.0,,
158,541174,284552,mobile,ended,-25.0,,
159,541334,372670,mobile,ended,,,
160,541372,387559,mobile,ended,13.0,,
161,541444,397413,mobile,ended,901.0,,
162,541590,378418,mobile,canceled,,,
163,541784,408830,mobile,ended,52.0,,
164,541862,382364,mobile,ended,125.0,540607.0,0.0
165,541884,398604,mobile,ended,,,
166,541948,321674,mobile,ended,165.0,,
167,541991,329496,mobile,ended,-25.0,,
168,542033,164574,mobile,ended,,,
169,542106,392656,mobile,ended,,,
170,542149,371368,mobile,ended,83.0,,
171,542203,388268,mobile,ended,69.0,,
172,542222,207728,mobile,ended,156.0,,
173,542300,307595,mobile,ended,,539897.0,30.0
174,542336,374400,mobile,canceled,,,
175,542339,322005,mobile,ended,12.0,,
176,542374,409676,mobile,ended,50.0,540444.0,180.0
177,542400,315909,mobile,ended,-7.0,,
178,542413,409980,mobile,canceled,,,
179,542520,401751,mobile,ended,183.0,,
180,542549,221978,mobile,canceled,,,
181,542661,391512,mobile,ended,-170.0,,
182,542894,218964,mobile,ended,-36.0,,
183,542942,358082,connect,ended,-106.0,,
184,543012,393044,mobile,ended,9.0,,
185,543050,379428,mobile,ended,-21.0,,
186,543088,200316,mobile,ended,64.0,,
187,543150,410052,mobile,ended,23.0,,
188,543180,350521,mobile,ended,14.0,,
189,543186,395671,mobile,ended,5.0,,
190,543243,344149,mobile,ended,300.0,,
191,543251,409296,mobile,ended,-18.0,,
192,543257,389929,mobile,ended,,,
193,543287,377312,mobile,ended,12.0,,
194,543321,371572,connect,ended,48.0,,
195,543328,358772,connect,ended,-9.0,552619.0,240.0
196,543437,409808,mobile,ended,-57.0,,
197,543443,356551,connect,ended,-529.0,,
198,543464,399161,mobile,ended,670.0,,
199,543614,378939,mobile,ended,-1087.0,,
200,543676,390481,mobile,ended,-53.0,,
201,543679,225795,connect,ended,64.0,540663.0,540.0
202,543681,368432,mobile,ended,2.0,,
203,543761,294189,mobile,ended,24.0,,
204,543768,374169,connect,canceled,,543010.0,210.0
205,543780,319708,mobile,ended,55.0,,
206,543808,369230,mobile,ended,75.0,536315.0,60.0
207,543879,270665,mobile,ended,,,
208,543906,401666,mobile,ended,,,
209,543984,313085,mobile,ended,-44.0,,
210,544164,301301,connect,ended,-244.0,,
211,544167,306607,connect,ended,337.0,,
212,544197,387939,connect,ended,39.0,,
213,544443,337047,mobile,ended,56.0,,
214,544489,405565,mobile,canceled,,,
215,544586,312389,mobile,ended,31.0,,
216,544617,367627,mobile,ended,-23.0,,
217,544642,176755,mobile,canceled,,,
218,544763,394781,mobile,ended,233.0,,
219,544777,387810,connect,ended,50.0,,
220,544937,348400,mobile,ended,108.0,,
221,544967,373545,mobile,ended,56.0,,
222,544980,350135,mobile,ended,-2.0,,
223,545064,194343,connect,ended,74.0,,
224,545068,374684,mobile,ended,-31.0,,
225,545171,292910,mobile,ended,7.0,,
226,545202,367365,connect,canceled,,,
227,545214,363658,mobile,ended,302.0,,
228,545272,370585,connect,ended,-98.0,,
229,545319,353251,mobile,ended,93.0,,
230,545320,224133,mobile,ended,20.0,,
231,545333,217777,connect,canceled,,,
232,545357,408467,mobile,ended,,,
233,545438,393172,connect,ended,-467.0,,
234,545640,312840,connect,canceled,,,
235,545741,409096,mobile,ended,20.0,,
236,545763,366310,mobile,ended,69.0,,
237,545782,382901,mobile,ended,-9.0,,
238,545922,409695,mobile,ended,-80.0,,
239,545947,396470,mobile,ended,-44.0,,
240,546024,381038,mobile,ended,163.0,,
241,546150,242106,mobile,ended,-2.0,,
242,546160,352528,connect,canceled,,546578.0,630.0
243,546169,409274,mobile,ended,10.0,,
244,546252,408509,mobile,ended,-52.0,,
245,546365,384056,mobile,canceled,,,
246,546477,383309,mobile,ended,16.0,548486.0,660.0
247,546484,409391,mobile,ended,92.0,,
248,546491,366448,mobile,canceled,,,
249,546564,392732,mobile,ended,7.0,,
250,546738,288953,mobile,ended,,,
251,546745,342645,connect,ended,-55.0,,
252,546822,394781,mobile,ended,30.0,,
253,546865,399535,mobile,ended,261.0,,
254,546888,295783,connect,ended,84.0,,
255,546935,348526,connect,ended,85.0,,
256,546938,410452,mobile,ended,10.0,,
257,546957,405122,mobile,ended,-113.0,,
258,546991,377219,connect,ended,423.0,,
259,547033,276276,mobile,ended,500.0,,
260,547039,409872,mobile,ended,,,
261,547072,395489,mobile,canceled,,,
262,547122,385574,connect,ended,-5.0,,
263,547160,409344,mobile,ended,1.0,,
264,547177,214635,connect,ended,-548.0,,
265,547188,231676,mobile,ended,266.0,535868.0,30.0
266,547198,381684,mobile,ended,145.0,,
267,547223,188944,connect,ended,8.0,,
268,547236,392147,mobile,ended,-8.0,,
269,547348,374614,mobile,ended,74.0,,
270,547557,408406,mobile,ended,126.0,,
271,548028,409718,mobile,ended,15.0,,
272,548177,411835,mobile,canceled,,,
273,548215,367346,mobile,ended,-8.0,,
274,548279,317330,connect,ended,-692.0,,
275,548352,409458,mobile,ended,195.0,,
276,548355,375311,mobile,canceled,,,
277,548453,374241,mobile,canceled,,,
278,548598,288973,mobile,ended,-133.0,,
279,548603,363820,mobile,ended,-22.0,,
280,548646,282893,mobile,ended,201.0,,
281,548702,406104,mobile,ended,21.0,,
282,548897,278005,mobile,ended,-307.0,,
283,548904,373316,mobile,ended,-40.0,,
284,548912,411521,mobile,ended,225.0,553683.0,60.0
285,548973,227830,mobile,canceled,,,
286,549047,369608,mobile,ended,-37.0,,
287,549135,394752,mobile,canceled,,,
288,549261,360829,mobile,ended,-12.0,,
289,549266,411687,mobile,ended,-11.0,,
290,549273,175887,connect,ended,-26.0,,
291,549290,364907,connect,ended,-49.0,,
292,549340,181607,mobile,ended,381.0,,
293,549345,369881,connect,ended,22.0,,
294,549444,177058,mobile,ended,144.0,,
295,549446,391174,mobile,ended,69.0,,
296,549499,408814,mobile,ended,19.0,,
297,549558,328016,mobile,ended,10.0,,
298,549579,273263,mobile,ended,-5.0,,
299,549674,390702,connect,ended,-127.0,,
300,549692,358131,mobile,ended,-158.0,,
301,549808,310219,connect,ended,54.0,,
302,549874,409690,mobile,ended,3.0,,
303,549901,383481,mobile,ended,201.0,,
304,549923,407730,mobile,ended,167.0,,
305,549983,356540,mobile,ended,,,
306,550000,378182,mobile,ended,-136.0,,
307,550134,294883,mobile,ended,-158.0,,
308,550211,407838,mobile,ended,20.0,,
309,550224,358567,connect,ended,-7.0,,
310,550246,408578,mobile,ended,-15.0,,
311,550248,382901,mobile,ended,-127.0,545782.0,60.0
312,550459,295815,mobile,ended,82.0,,
313,550537,239798,connect,ended,37.0,,
314,550660,399967,mobile,ended,0.0,,
315,550723,380886,mobile,ended,,545855.0,120.0
316,550808,346652,connect,ended,-41.0,,
317,550929,310681,connect,ended,-25.0,,
318,550964,229360,mobile,canceled,,,
319,551031,409711,mobile,ended,-1283.0,,
320,551040,383343,mobile,ended,40.0,,
321,551069,359880,connect,ended,-22.0,549192.0,180.0
322,551108,291723,mobile,ended,211.0,,
323,551128,382939,mobile,ended,97.0,,
324,551137,295783,connect,ended,16.0,,
325,551179,304570,mobile,ended,536.0,,
326,551227,341710,mobile,ended,159.0,,
327,551311,409112,mobile,ended,,,
328,551317,283001,mobile,ended,-7.0,,
329,551364,406062,connect,ended,34.0,,
330,551429,277888,mobile,ended,203.0,,
331,551591,304055,mobile,ended,,,
332,551679,381233,mobile,ended,275.0,,
333,551695,374293,mobile,canceled,,,
334,551795,382793,mobile,ended,-193.0,,
335,551868,409330,mobile,ended,,,
336,551907,171249,mobile,ended,11.0,,
337,552204,348625,mobile,ended,91.0,,
338,552209,412676,mobile,ended,23.0,,
339,552233,245154,connect,ended,4.0,,
340,552265,408202,mobile,ended,-28.0,,
341,552312,384045,mobile,canceled,,,
342,552330,384657,connect,ended,23.0,554800.0,0.0
343,552342,376619,mobile,ended,-965.0,547312.0,0.0
344,552389,307335,mobile,ended,6.0,,
345,552425,385625,connect,ended,-102.0,550476.0,30.0
346,552448,364662,mobile,ended,-232.0,,
347,552524,173061,connect,ended,-22.0,,
348,552655,406081,mobile,ended,322.0,,
349,552677,323777,mobile,ended,31.0,,
350,552700,348673,mobile,ended,63.0,,
351,552716,294883,mobile,ended,10.0,,
352,552850,315136,connect,ended,40.0,,
353,552964,384385,mobile,ended,20.0,,
354,553033,381331,mobile,ended,,,
355,553153,276924,mobile,ended,5.0,,
356,553240,362608,mobile,ended,,,
357,553354,401166,mobile,ended,7.0,,
358,553356,381684,mobile,ended,-1.0,,
359,553367,385783,mobile,ended,24.0,519328.0,150.0
360,553511,363658,mobile,ended,170.0,,
361,553532,355444,connect,ended,-20.0,,
362,553660,412936,mobile,ended,-3.0,,
363,553726,347847,mobile,ended,-36.0,,
364,553730,390976,connect,ended,-29.0,,
365,553755,393972,mobile,ended,1.0,,
366,553795,402528,connect,ended,11.0,,
367,553959,398733,mobile,canceled,,,
368,553984,410694,mobile,ended,-148.0,,
369,554021,411852,mobile,ended,,,
370,554025,293785,mobile,ended,37.0,,
371,554508,241021,connect,ended,-37.0,,
372,554572,380002,mobile,ended,358.0,,
373,554581,406629,mobile,ended,-5.0,,
374,554672,352631,mobile,canceled,,,
375,554695,402993,mobile,ended,17.0,560722.0,720.0
376,555081,311353,mobile,ended,-72.0,,
377,555083,328013,mobile,ended,161.0,,
378,555131,324889,mobile,ended,146.0,,
379,555458,351168,mobile,ended,-919.0,,
380,555600,391519,connect,ended,-95.0,,
381,555659,260298,mobile,ended,,,
382,555703,391926,connect,canceled,,,
383,555794,327585,mobile,ended,19.0,,
384,555813,360548,mobile,ended,-26.0,,
385,555953,407253,mobile,canceled,,,
386,555992,375774,mobile,ended,58.0,,
387,556072,320670,mobile,ended,21.0,,
388,556079,374298,connect,ended,-1019.0,,
389,556110,211860,connect,canceled,,,
390,556143,407632,mobile,ended,181.0,,
391,556241,396767,mobile,canceled,,,
392,556267,274554,mobile,canceled,,,
393,556483,413896,mobile,ended,14.0,,
394,556488,296213,mobile,ended,8.0,,
395,556580,397878,mobile,ended,77.0,,
396,556608,368275,mobile,ended,-12.0,,
397,556648,332548,mobile,ended,-581.0,,
398,556696,234356,mobile,ended,59.0,,
399,556755,395962,mobile,ended,98.0,,
400,556986,402773,mobile,ended,23.0,,
401,556999,406205,mobile,ended,14.0,,
402,557296,387427,mobile,ended,7.0,,
403,557314,383126,mobile,ended,-16.0,,
404,557429,321400,connect,canceled,,,
405,557504,327732,mobile,ended,55.0,,
406,557512,412816,mobile,ended,101.0,,
407,557514,405433,mobile,ended,47.0,,
408,557535,401623,mobile,ended,21.0,,
409,557572,383139,mobile,ended,-85.0,,
410,557674,375915,mobile,ended,15.0,550183.0,480.0
411,557681,410151,mobile,ended,122.0,,
412,557685,272724,mobile,ended,996.0,,
413,557716,249157,mobile,ended,,,
414,557833,351547,mobile,ended,67.0,,
415,557913,351021,mobile,ended,-4.0,,
416,558047,396746,mobile,ended,-25.0,,
417,558088,245154,connect,ended,-40.0,566170.0,180.0
418,558250,375126,connect,ended,-4.0,549813.0,600.0
419,558342,400165,mobile,canceled,,,
420,558424,318867,mobile,ended,173.0,,
421,558479,405858,mobile,canceled,,,
422,558525,297962,connect,ended,-256.0,555341.0,30.0
423,558557,410258,mobile,ended,20.0,,
424,558561,326755,mobile,ended,72.0,,
425,558583,326578,mobile,ended,3.0,,
426,558709,316772,mobile,ended,102.0,,
427,558759,368753,connect,ended,-126.0,,
428,558974,321069,mobile,ended,-5.0,,
429,559078,340616,connect,ended,27.0,,
430,559084,286751,connect,canceled,,,
431,559107,402084,mobile,ended,,,
432,559125,297740,mobile,canceled,,,
433,559318,344677,mobile,ended,2.0,,
434,559331,369354,mobile,ended,89.0,,
435,559428,289720,connect,ended,-16.0,520878.0,90.0
436,559435,281955,mobile,ended,18.0,553797.0,60.0
437,559750,220877,connect,canceled,,,
438,559781,408776,mobile,ended,44.0,540868.0,0.0
439,559817,394117,mobile,ended,21.0,,
440,559924,376064,mobile,ended,-3.0,,
441,560005,301068,mobile,ended,-78.0,,
442,560079,288452,mobile,ended,52.0,,
443,560311,399361,mobile,canceled,,,
444,560363,376124,mobile,ended,,,
445,560720,404020,mobile,ended,-14.0,,
446,560884,410068,mobile,ended,-41.0,,
447,560886,375755,mobile,ended,84.0,,
448,560889,412672,connect,ended,,,
449,561054,387845,mobile,ended,-18.0,,
450,561083,334859,mobile,ended,65.0,,
451,561111,337217,mobile,ended,10.0,,
452,561157,373726,mobile,ended,-14.0,,
453,561269,389467,mobile,ended,-21.0,,
454,561285,392479,mobile,ended,-40.0,,
455,561366,305917,mobile,ended,-104.0,,
456,561368,249274,connect,ended,-3.0,558711.0,30.0
457,561383,411754,connect,ended,173.0,,
458,561408,310444,connect,ended,-54.0,545475.0,360.0
459,561450,192179,connect,ended,7.0,541144.0,540.0
460,561492,341119,connect,canceled,,,
461,561596,364996,mobile,ended,108.0,,
462,561706,395613,mobile,ended,-38.0,,
463,561713,414723,mobile,canceled,,,
464,561726,409636,mobile,ended,-208.0,,
465,561786,409238,mobile,canceled,,,
466,561819,304112,mobile,canceled,,,
467,562024,403722,mobile,canceled,,,
468,562090,404542,mobile,ended,-35.0,,
469,562127,386382,mobile,canceled,,,
470,562173,394024,mobile,ended,73.0,,
471,562174,381499,connect,ended,73.0,,
472,562211,248539,mobile,canceled,,,
473,562256,392731,mobile,canceled,,,
474,562264,408060,mobile,ended,129.0,,
475,562291,404133,connect,ended,-709.0,,
476,562299,386177,mobile,canceled,,,
477,562409,410088,mobile,ended,-30.0,,
478,562501,242546,mobile,ended,15.0,,
479,562641,381183,mobile,canceled,,,
480,562669,393442,mobile,ended,30.0,,
481,562807,310571,mobile,ended,-14.0,,
482,563003,310828,mobile,ended,-444.0,,
483,563108,339515,mobile,ended,33.0,,
484,563119,406005,mobile,ended,,,
485,563142,394272,mobile,canceled,,,
486,563157,371572,connect,ended,-83.0,,
487,563509,349894,connect,ended,-432.0,,
488,563519,225602,mobile,ended,-16.0,,
489,563552,241021,connect,ended,25.0,567278.0,60.0
490,563775,365793,mobile,ended,,,
491,563933,347208,connect,ended,27.0,,
492,563998,409663,mobile,ended,-47.0,,
493,564034,358907,mobile,ended,,,
494,564045,381123,mobile,ended,99.0,554558.0,660.0
495,564094,179429,mobile,ended,4.0,,
496,564208,361262,mobile,ended,90.0,,
497,564269,384150,mobile,canceled,,,
498,564414,195888,mobile,ended,20.0,564484.0,180.0
499,564449,371530,mobile,canceled,,,
500,564466,407869,mobile,ended,10.0,,
501,564500,382884,mobile,ended,69.0,555024.0,420.0
502,564521,412426,mobile,canceled,,,
503,564538,332366,mobile,ended,335.0,,
504,564627,341431,mobile,canceled,,552005.0,150.0
505,564638,394120,mobile,canceled,,,
506,564642,340833,mobile,ended,-20.0,,
507,564694,410110,mobile,canceled,,,
508,564706,384747,mobile,ended,403.0,,
509,564782,356481,mobile,canceled,,,
510,564785,399718,mobile,ended,1.0,,
511,564825,414525,mobile,canceled,,,
512,564844,297962,connect,ended,-167.0,,
513,564955,389994,mobile,ended,136.0,,
514,564967,282208,mobile,canceled,,,
515,564992,366410,mobile,ended,62.0,,
516,565108,354331,mobile,ended,-55.0,,
517,565143,381435,mobile,ended,-100.0,,
518,565205,406475,mobile,ended,-80.0,,
519,565340,415170,mobile,ended,41.0,,
520,565494,368210,mobile,ended,45.0,,
521,565512,376391,mobile,ended,436.0,,
